,Rank,Equipe,Country,Pass_accuracy,Pass_attempted,Pass_completed,Cross_accuracy,Cross_attempted,Cross_completed,Freekick,Match_Played,Possesion
0,01,Real_Madrid,Spain,91.8,4121,3782,57.8,23,105,25,60,6
1,02,Man_City,England,91.5,4403,4030,64.2,23,132,31,51,6
2,03,Paris,France,90.5,3821,3466,55.5,19,68,13,109,6
3,04,Barcelona,Spain,88.8,3800,3390,62.5,25,156,40,95,6
4,05,Chelsea,England,88.5,3753,3328,60.8,35,114,41,96,6
5,06,Bayern,Germany,88.3,3520,3118,55.7,22,57,13,73,6
6,07,Leipzig,Germany,87.7,3392,2982,53.5,26,103,27,68,6
7,08,Celtic,Scotland,87.5,2946,2583,44.2,22,114,26,48,6
8,09,Marseille,France,87,3384,2957,59,14,116,17,92,6
9,10,Atlético,Spain,86.5,3368,2928,54,19,152,29,66,6
10,10,Shakhtar_Donetsk,Ukraine,86.5,2815,2443,44.5,20,45,9,60,6
11,12,Juventus,Italy,86.3,2848,2471,49.2,23,142,34,74,6
12,13,Benfica,Portugal,86,2904,2506,49.7,23,88,21,65,6
13,14,Napoli,Italy,85.8,3054,2644,50.7,34,79,27,93,6
14,15,Liverpool,England,85.5,3265,2792,55,27,140,39,72,6
